iter	Passed	Remaining
0	1751	173365
1	3484	170725
2	5239	169405
3	7003	168091
4	8754	166342
5	10503	164556
6	12279	163139
7	14041	161472
8	15814	159902
9	17611	158507
10	19376	156775
11	21152	155119
12	22939	153515
13	24733	151933
14	26470	150000
15	28246	148294
16	30014	146540
17	31777	144765
18	33520	142902
19	35300	141202
20	37039	139339
21	38787	137520
22	40577	135847
23	42365	134157
24	44170	132510
25	45946	130771
26	47706	128984
27	49555	127428
28	51366	125760
29	53158	124036
30	54887	122168
31	56650	120381
32	58366	118501
33	60158	116778
34	61905	114967
35	63721	113282
36	65481	111495
37	67296	109798
38	69091	108066
39	70871	106307
40	72657	104555
41	74423	102775
42	76232	101051
43	78043	99327
44	79761	97486
45	81556	95740
46	83302	93937
47	85084	92175
48	86816	90360
49	88568	88568
50	90343	86800
51	92130	85043
52	93891	83262
53	95654	81483
54	97474	79751
55	99289	78012
56	101087	76259
57	102856	74482
58	104628	72708
59	106398	70932
60	108201	69177
61	110005	67422
62	111785	65651
63	113556	63875
64	115385	62130
65	117231	60392
66	119057	58640
67	120898	56893
68	122694	55123
69	124484	53350
70	126323	51597
71	128169	49843
72	129983	48076
73	131789	46304
74	133606	44535
75	135472	42780
76	137313	41015
77	139176	39254
78	140998	37480
79	142811	35702
80	144636	33927
81	146459	32149
82	148319	30378
83	150187	28607
84	152003	26824
85	153808	25038
86	155683	23263
87	157513	21479
88	159376	19698
89	161237	17915
90	163106	16131
91	164940	14342
92	166763	12552
93	168610	10762
94	170450	8971
95	172347	7181
96	174232	5388
97	176125	3594
98	177983	1797
99	179838	0
